Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",53.848000,244.807500,270.000000,bottom
"C2","22pF","C_0805_2012Metric",60.756800,244.807500,90.000000,bottom
"C3","1uF","C_0805_2012Metric",54.559200,234.876100,270.000000,bottom
"C4","0.1uF","C_0805_2012Metric",62.865000,245.730000,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",51.104800,244.015500,90.000000,bottom
"C6","10uF","C_0805_2012Metric",45.466000,240.743500,270.000000,bottom
"D1","1N4148","D_SOD-123",-118.745000,249.174000,90.000000,bottom
"D2","1N4148","D_SOD-123",-99.568000,249.174000,90.000000,bottom
"D3","1N4148","D_SOD-123",-80.518000,249.174000,90.000000,bottom
"D4","1N4148","D_SOD-123",-61.595000,249.174000,90.000000,bottom
"D5","1N4148","D_SOD-123",-42.545000,249.174000,90.000000,bottom
"D6","1N4148","D_SOD-123",-23.495000,249.174000,90.000000,bottom
"D7","1N4148","D_SOD-123",-20.955000,249.175000,90.000000,bottom
"D8","1N4148","D_SOD-123",14.605000,249.174000,90.000000,bottom
"D9","1N4148","D_SOD-123",33.655000,249.174000,90.000000,bottom
"D10","1N4148","D_SOD-123",52.705000,249.174000,90.000000,bottom
"D11","1N4148","D_SOD-123",71.755000,249.174000,90.000000,bottom
"D12","1N4148","D_SOD-123",90.805000,249.175000,90.000000,bottom
"D13","1N4148","D_SOD-123",102.870000,249.200400,90.000000,bottom
"D14","1N4148","D_SOD-123",-116.078000,230.251000,90.000000,bottom
"D15","1N4148","D_SOD-123",-94.869000,230.251000,90.000000,bottom
"D16","1N4148","D_SOD-123",-75.946000,230.251000,90.000000,bottom
"D17","1N4148","D_SOD-123",-56.896000,230.251000,90.000000,bottom
"D18","1N4148","D_SOD-123",-37.846000,230.251000,90.000000,bottom
"D19","1N4148","D_SOD-123",-18.796000,230.251000,90.000000,bottom
"D20","1N4148","D_SOD-123",0.254000,230.251000,90.000000,bottom
"D21","1N4148","D_SOD-123",19.304000,230.251000,90.000000,bottom
"D22","1N4148","D_SOD-123",38.354000,230.251000,90.000000,bottom
"D23","1N4148","D_SOD-123",41.021000,230.251000,90.000000,bottom
"D24","1N4148","D_SOD-123",83.693000,230.251000,90.000000,bottom
"D25","1N4148","D_SOD-123",102.895400,230.252000,90.000000,bottom
"D26","1N4148","D_SOD-123",-111.379000,211.201000,90.000000,bottom
"D27","1N4148","D_SOD-123",-85.471000,211.201000,90.000000,bottom
"D28","1N4148","D_SOD-123",-66.421000,211.201000,90.000000,bottom
"D29","1N4148","D_SOD-123",-47.371000,211.201000,90.000000,bottom
"D30","1N4148","D_SOD-123",-28.321000,211.201000,90.000000,bottom
"D31","1N4148","D_SOD-123",-9.271000,211.201000,90.000000,bottom
"D32","1N4148","D_SOD-123",9.779000,211.201000,90.000000,bottom
"D33","1N4148","D_SOD-123",28.829000,211.201000,90.000000,bottom
"D34","1N4148","D_SOD-123",47.879000,211.201000,90.000000,bottom
"D35","1N4148","D_SOD-123",69.469000,211.201000,90.000000,bottom
"D36","1N4148","D_SOD-123",95.504000,206.629000,90.000000,bottom
"D37","1N4148","D_SOD-123",102.997000,211.328000,90.000000,bottom
"D38","1N4148","D_SOD-123",-116.332000,191.771000,90.000000,bottom
"D39","1N4148","D_SOD-123",-97.663000,190.499000,90.000000,bottom
"D40","1N4148","D_SOD-123",-80.645000,191.770000,90.000000,bottom
"D41","1N4148","D_SOD-123",-44.831000,191.770000,90.000000,bottom
"D42","1N4148","D_SOD-123",-21.082000,191.770000,90.000000,bottom
"D43","1N4148","D_SOD-123",2.794000,191.770000,90.000000,bottom
"D44","1N4148","D_SOD-123",33.655000,191.770000,90.000000,bottom
"D45","1N4148","D_SOD-123",52.705000,191.770000,90.000000,bottom
"D46","1N4148","D_SOD-123",76.454000,186.944000,90.000000,bottom
"D47","1N4148","D_SOD-123",95.504000,186.945000,90.000000,bottom
"D48","1N4148","D_SOD-123",98.171000,186.945000,90.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",10.163000,242.697000,180.000000,bottom
"R1","10k","R_0805_2012Metric",66.484500,228.551500,270.000000,bottom
"R2","10k","R_0805_2012Metric",76.883500,224.282000,180.000000,bottom
"R3","5.1k","R_0805_2012Metric",-9.525000,247.474500,90.000000,bottom
"R4","5.1k","R_0805_2012Metric",5.001500,258.445000,180.000000,bottom
"SW2","SW_Push","SKQGADE010",76.581000,219.456000,0.000000,bottom
"U1","ATmega32U2-AU","TQFP-32_7x7mm_P0.8mm",61.934505,237.178497,270.000000,bottom
"U2","PRTR5V0U2X","SOT143B",-3.159000,250.329000,180.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",-3.175000,264.318750,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",57.690658,244.806223,0.000000,bottom
"RGB1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",96.901000,228.473000,180.000000,top
"RGB2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",96.938000,235.026000,180.000000,top
"RGB3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",96.901000,241.554000,180.000000,top
"RGB4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",96.901000,248.031000,180.000000,top
"RGB5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",96.864000,254.584000,180.000000,top
